CaII,,,,,,,,,,
QSO,zem,zabs,gmag,W0a,e_W0a,W0b,e_W0b,Sloan,_RA,_DE
J103708.76-004402.3,2.47,0.3524,19.58,0.673,0.132,0.306,0.082,Sloan,159.2865,-0.73397
J104304.88+464953.4,2.895,0.6518,19.83,2.023,0.326,0.885,0.33,Sloan,160.77033,46.8315
J104448.52+160041.1,1.715,0.0652,19.28,0.778,0.149,0.765,0.133,Sloan,161.20217,16.01142
J104547.50+365655.3,2.395,0.5443,18.67,0.567,0.089,0.398,0.089,Sloan,161.44792,36.94869
J104702.22+173410.0,1.779,0.8243,18.38,0.737,0.071,0.462,0.107,Sloan,161.75925,17.56944
J104837.40-002813.6,4.033,0.7924,19.25,0.661,0.132,0.296,0.117,Sloan,162.15583,-0.47044
J104923.94+012224.6,1.947,0.4715,17.8,0.582,0.054,0.236,0.057,Sloan,162.34975,1.3735
J105042.27+160056.1,1.267,0.7418,18.4,0.688,0.097,0.443,0.087,Sloan,162.67612,16.01558
J105106.07+100923.6,0.897,0.7643,17.85,0.557,0.08,0.386,0.081,Sloan,162.77529,10.15656
J105640.55+013941.9,2.366,0.3478,19.88,1.318,0.213,0.749,0.185,Sloan,164.16896,1.66164
J105709.91+381859.5,2.974,0.9077,19.75,0.712,0.143,0.719,0.144,Sloan,164.29129,38.31653
J105714.82+440323.8,3.311,0.6561,18.03,0.376,0.063,0.139,0.051,Sloan,164.31175,44.05661
J105853.11+370314.1,1.688,0.0473,18.23,0.619,0.076,0.249,0.06,Sloan,164.72129,37.05392
J105930.93+403956.6,1.208,0.4469,18.16,0.776,0.095,0.484,0.129,Sloan,164.87887,40.66572
J110608.13+592559.0,1.147,0.7776,18.79,1.38,0.134,0.969,0.111,Sloan,166.53387,59.43306
J110729.03+004811.2,1.392,0.7405,17.62,0.347,0.065,0.24,0.055,Sloan,166.87096,0.80311
J110834.54+411900.9,2.453,0.1014,19.12,1.453,0.151,0.872,0.131,Sloan,167.14392,41.31692
J111109.65+144238.2,3.097,0.6539,19.16,0.94,0.182,0.492,0.195,Sloan,167.79021,14.71061
J112012.12+671115.9,1.493,0.58,18.88,0.384,0.077,0.179,0.072,Sloan,170.0505,67.18775
J112053.85+623106.3,1.13,1.0723,17.85,0.491,0.068,0.395,0.068,Sloan,170.22437,62.51842
J112602.80+003418.2,1.8,0.7247,18.54,0.363,0.057,0.209,0.063,Sloan,171.51167,0.57172
J112642.95+434949.8,1.296,0.8091,17.95,0.407,0.067,0.351,0.071,Sloan,171.67896,43.8305
J112932.71+020422.8,1.192,0.9649,17.64,0.632,0.051,0.489,0.063,Sloan,172.38629,2.073
J113148.44+383811.6,2.108,0.5945,19.45,1.359,0.173,0.635,0.19,Sloan,172.95183,38.63656
J113324.63+250249.2,1.566,0.6444,18.57,0.701,0.099,0.415,0.09,Sloan,173.35262,25.047
